winkel,datum,tijd,beschrijving,prijs per product*,aantal,totaal prijs,winkel categorie
Lidl,23-12-2024,14:46,Zonnebloemolie,4.49,2,8.98,Supermarkt
Lidl,23-12-2024,14:46,Pastaus Napoli,2.98,1,2.98,Supermarkt
Lidl,23-12-2024,14:46,Picco pizza,2.98,1,2.98,Supermarkt
Lidl,23-12-2024,14:46,Halfvolle melkdrink,0.87,4,3.49,Supermarkt
Lidl,23-12-2024,14:46,Bonnenrolletje in spek,1.89,1,1.89,Supermarkt
Lidl,23-12-2024,14:46,Feta kaas,1.29,1,1.29,Supermarkt
Lidl,23-12-2024,14:46,Melkchocolade,0.78,1,0.78,Supermarkt
Lidl,23-12-2024,14:46,Witte chocolade,1.19,1,1.19,Supermarkt
Lidl,23-12-2024,14:46,Pure chocolade,0.89,1,0.89,Supermarkt
Lidl,23-12-2024,14:46,Slagroom houdbaar,1.49,1,1.49,Supermarkt
Lidl,23-12-2024,14:46,Pestop genovese,1.98,1,1.98,Supermarkt
Lidl,23-12-2024,14:46,Ontbijtkoek,2.39,1,2.39,Supermarkt
Lidl,23-12-2024,14:46,Kipfilet,2.99,1,2.99,Supermarkt
Lidl,23-12-2024,14:46,Schouderham rond,1.99,1,1.99,Supermarkt
Lidl,23-12-2024,14:46,Zeevruchten nougat-pralin,1.49,1,1.49,Supermarkt
Lidl,23-12-2024,14:46,Rich tea biscuits,1.49,1,1.49,Supermarkt
Lidl,23-12-2024,14:46,Verse kruidenkaas,1.59,1,1.59,Supermarkt
Lidl,23-12-2024,14:46,Groene olijven,0.99,1,0.99,Supermarkt
Lidl,23-12-2024,14:46,Croutons,0.88,1,0.88,Supermarkt
Lidl,23-12-2024,14:46,Sperziebonen,0.99,1,0.99,Supermarkt
Lidl,23-12-2024,14:46,Zoete aardappelen,0.69,1,0.69,Supermarkt
Lidl,23-12-2024,14:46,Komkommer,1.49,1,1.49,Supermarkt
Lidl,23-12-2024,14:46,Bananen,0.67,1,0.67,Supermarkt
Lidl,23-12-2024,14:46,Mango,1.49,1,1.49,Supermarkt
Lidl,23-12-2024,14:46,Perse Nashi,1.49,1,1.49,Supermarkt
Lidl,23-12-2024,14:46,Basilicum bio,1.29,1,1.29,Supermarkt
Lidl,23-12-2024,14:46,Ananas,1.69,1,1.69,Supermarkt
Lidl,23-12-2024,14:46,Luxe toetjes,1.99,1,1.99,Supermarkt
Lidl,23-12-2024,14:46,Zoete rode puntpaprika,2.99,1,2.99,Supermarkt
Lidl,23-12-2024,14:46,Verse rauwe cake Belgisch,3.89,1,3.89,Supermarkt
Lidl,23-12-2024,14:46,Mini bavarois,2.89,1,2.89,Supermarkt
